country_iso3,country_name,year,agency,rating,outlook,action,action_date,rating_score,provenance,data_note
RUS,Russian Federation,2015,Moody's,Caa2,Stable,downgrade,2015-08-07,4,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
KOR,"Korea, Rep.",2019,Fitch,A,Stable,downgrade,2019-08-14,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
KOR,"Korea, Rep.",2022,Moody's,A1,Stable,upgrade,2022-09-15,17,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2013,Moody's,Baa1,Stable,downgrade,2013-06-15,14,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IND,India,2013,S&P,BBB-,Developing,downgrade,2013-10-08,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2011,S&P,AA+,Stable,upgrade,2011-01-11,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2009,Fitch,A,Stable,upgrade,2009-01-16,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2022,Fitch,AA-,Stable,upgrade,2022-02-23,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IND,India,2020,Moody's,Ba2,Stable,downgrade,2020-07-27,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IDN,Indonesia,2017,S&P,BBB-,Stable,downgrade,2017-12-16,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2001,S&P,A,Stable,upgrade,2001-07-06,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2019,S&P,AA-,Stable,downgrade,2019-08-10,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2018,Moody's,Aa2,Stable,upgrade,2018-07-06,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2011,Moody's,Aa2,Stable,upgrade,2011-12-15,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2021,Moody's,B2,Stable,downgrade,2021-04-07,7,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2022,Fitch,BBB,Stable,upgrade,2022-04-22,13,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2017,Moody's,Ba2,n/a,downgrade,2017-06-23,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2000,S&P,CCCu,Stable,assign,2000-09-10,4,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IND,India,2015,S&P,BB+,Stable,downgrade,2015-02-08,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2012,Fitch,AA,Stable,upgrade,2012-03-08,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2018,Moody's,Ba2,Stable,downgrade,2018-11-22,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2012,Moody's,Ba1,Stable,upgrade,2012-04-20,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2000,S&P,AA+,Stable,assign,2000-08-08,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2015,S&P,B+,n/a,downgrade,2015-06-17,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
USA,United States,2020,Moody's,Aa2,Stable,downgrade,2020-06-25,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2009,Moody's,B1,Stable,upgrade,2009-01-05,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2008,S&P,A,Stable,upgrade,2008-11-17,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
KOR,"Korea, Rep.",2019,S&P,A+,Stable,upgrade,2019-03-17,17,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ZAF,South Africa,2023,Fitch,BB+,Developing,downgrade,2023-10-08,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ZAF,South Africa,2010,Moody's,Ba2,Stable,downgrade,2010-12-15,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2003,S&P,CC,Stable,upgrade,2003-07-15,2,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2004,Fitch,BBB+,Stable,downgrade,2004-03-05,14,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
KOR,"Korea, Rep.",2013,Moody's,A2,Stable,downgrade,2013-08-04,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2000,Moody's,Ba3,Stable,assign,2000-08-16,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2011,Fitch,B,Stable,downgrade,2011-01-08,7,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IND,India,2012,S&P,BBB,Stable,upgrade,2012-04-12,13,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2000,Moody's,Aa3,Developing,assign,2000-11-23,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ESP,Spain,2016,Fitch,A+,Stable,upgrade,2016-05-10,17,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2023,Fitch,A+,Stable,downgrade,2023-11-19,17,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2021,Moody's,Aa1,Stable,upgrade,2021-03-02,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2009,Fitch,BB+u,Stable,upgrade,2009-01-19,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ZAF,South Africa,2019,Moody's,Ba1,Stable,upgrade,2019-11-27,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2005,Fitch,Bu,Stable,downgrade,2005-08-04,7,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IDN,Indonesia,2015,Moody's,Baa2,Stable,upgrade,2015-05-21,13,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2000,Fitch,A-,Stable,assign,2000-11-12,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2000,S&P,B,Stable,assign,2000-07-05,7,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IND,India,2005,S&P,BB+,Stable,upgrade,2005-04-10,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ESP,Spain,2023,Moody's,A3,Stable,downgrade,,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2009,Moody's,A2,Stable,downgrade,2009-09-13,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IDN,Indonesia,2015,Fitch,BBB,Stable,upgrade,2015-10-18,13,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2016,Fitch,AA,Stable,upgrade,2016-01-08,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2021,S&P,CC,Stable,upgrade,2021-03-25,2,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2009,Moody's,Ba1,Stable,downgrade,2009-04-27,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2010,Fitch,BB-,Stable,downgrade,2010-05-07,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
DEU,Germany,2000,Fitch,AAA,Stable,assign,2000-02-03,21,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2022,Fitch,CC,Stable,upgrade,2022-10-19,2,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2002,Moody's,Aaa,Stable,upgrade,2002-06-17,21,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2002,S&P,BB-,Stable,upgrade,2002-01-25,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2013,S&P,AA,Stable,downgrade,2013-03-25,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IDN,Indonesia,2015,S&P,BBB,Stable,upgrade,2015-01-17,13,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2011,Moody's,A2,Stable,upgrade,2011-12-11,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2023,Fitch,BBB-,Stable,downgrade,2023-05-06,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2014,S&P,CCC-,Stable,downgrade,2014-08-04,3,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2022,Moody's,B2,,downgrade,,7,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2009,Fitch,B+,Stable,upgrade,2009-07-03,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2014,S&P,BB-,Stable,downgrade,2014-09-20,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2017,S&P,BB,Stable,downgrade,2017-01-12,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2002,Moody's,B1,Stable,downgrade,2002-08-19,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2018,Fitch,AA,Stable,downgrade,2018-11-19,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ESP,Spain,2018,Fitch,A-,n/a,downgrade,2018-06-06,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2011,S&P,B+,Stable,downgrade,2011-09-11,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2022,Fitch,BB-,Stable,upgrade,2022-10-15,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2013,Moody's,Aa3,Stable,downgrade,2013-05-22,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2016,Fitch,A-,Stable,downgrade,2016-11-14,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2008,Fitch,CCC,Stable,upgrade,2008-10-05,4,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2007,Moody's,Ba2,Stable,upgrade,2007-07-02,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ZAF,South Africa,2004,S&P,BBB-,Stable,upgrade,2004-06-09,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2003,S&P,AAA,Stable,upgrade,2003-12-03,21,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
DEU,Germany,2021,Fitch,AA+u,Stable,downgrade,2021-01-26,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IND,India,2011,S&P,BBB-,Stable,upgrade,2011-06-15,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2012,Moody's,Caa1,Stable,upgrade,2012-02-03,5,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2003,Fitch,BB-,,downgrade,2003-07-07,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ESP,Spain,2011,S&P,BBB+,,downgrade,2011-03-02,14,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2005,S&P,BBB-,Stable,upgrade,2005-02-11,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ESP,Spain,2018,S&P,A-,Stable,downgrade,2018-06-05,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
DEU,Germany,2000,Moody's,Aaa,Developing,assign,2000-05-09,21,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2017,S&P,B+,Stable,downgrade,2017-12-27,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ZAF,South Africa,2000,Moody's,Ba2,Stable,assign,2000-10-08,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
KOR,"Korea, Rep.",2023,Moody's,A3,Stable,downgrade,2023-03-20,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ZAF,South Africa,2000,Fitch,BB,Stable,assign,2000-08-22,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2013,S&P,BBB-,Stable,upgrade,2013-05-26,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2006,Moody's,Aa1,Developing,upgrade,2006-03-12,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2021,Fitch,A+,Stable,downgrade,2021-02-15,17,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2004,Moody's,Baa2,Stable,downgrade,2004-08-13,13,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2000,Moody's,Baa1,,assign,2000-05-09,14,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2011,S&P,BB,Stable,upgrade,2011-04-14,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2016,Moody's,Caa1,Developing,downgrade,2016-04-18,5,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IND,India,2014,Moody's,Ba1,Stable,downgrade,2014-10-20,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2013,S&P,AA+,Stable,downgrade,2013-02-06,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2001,Fitch,BB+,,upgrade,2001-10-11,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ESP,Spain,2016,Moody's,A1,Stable,upgrade,2016-08-20,17,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
KOR,"Korea, Rep.",2023,S&P,A,Stable,downgrade,2023-01-15,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ESP,Spain,2022,S&P,A,Stable,upgrade,2022-09-22,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2009,S&P,AA-,Stable,downgrade,2009-08-16,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
DEU,Germany,2004,Moody's,Aa2,Stable,downgrade,2004-04-03,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2007,S&P,BBB,Stable,downgrade,2007-01-15,13,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2012,Moody's,Ba2,Stable,upgrade,2012-02-10,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2007,Fitch,BB,Stable,downgrade,2007-05-13,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2014,Fitch,AA-,Stable,downgrade,2014-12-09,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IND,India,2000,Moody's,Baa3,Stable,assign,2000-05-04,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2004,S&P,B+,Stable,downgrade,2004-04-22,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
KOR,"Korea, Rep.",2012,Moody's,A1,Developing,upgrade,2012-01-04,17,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ZAF,South Africa,2022,Moody's,Ba3,Developing,downgrade,2022-03-06,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IDN,Indonesia,2013,S&P,BB,Stable,downgrade,2013-04-11,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ESP,Spain,2013,S&P,A,Stable,upgrade,2013-12-13,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2022,Moody's,Aa3,Stable,upgrade,2022-09-24,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2014,Fitch,CCC-,Stable,downgrade,2014-02-27,3,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2000,Moody's,Baa3,Stable,assign,2000-03-18,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IND,India,2004,S&P,BB,Stable,downgrade,2004-04-08,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2015,S&P,AA,Developing,downgrade,2015-05-09,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2006,S&P,BBB,Stable,upgrade,2006-08-04,13,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2000,Moody's,Aa2,Stable,assign,2000-07-24,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2011,Fitch,BB-u,Stable,downgrade,2011-03-15,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ZAF,South Africa,2014,S&P,BB,Stable,downgrade,2014-04-10,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2023,S&P,BB-,Stable,downgrade,,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2018,S&P,BB+,Stable,upgrade,2018-06-01,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ZAF,South Africa,2000,S&P,BB,Stable,assign,2000-06-12,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2013,S&P,BBB,Stable,upgrade,2013-06-04,13,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2022,S&P,AA-,Stable,upgrade,2022-08-15,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2002,S&P,AA,Stable,upgrade,2002-12-27,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2018,S&P,AA,Stable,downgrade,2018-04-01,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2018,S&P,C/D,Stable,downgrade,2018-01-05,1,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
